"Table BT.03: Births registed in Scotland, by month of registration, 1954-2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Total,Jan,Feb,Mar,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,,,,,,,,,,,,,,,,,,
2014,"56,725 ","5,242 ","4,201 ","4,487 ","4,677 ","4,632 ","4,712 ","5,158 ","4,785 ","4,986 ","5,323 ","4,288 ","4,234 ",,,,,,,,,,,,,,,,,,
2015,"55,098 ","4,791 ","4,137 ","4,391 ","4,543 ","4,321 ","4,853 ","5,084 ","4,707 ","4,819 ","4,794 ","4,396 ","4,262 ",,,,,,,,,,,,,,,,,,
2016,"54,488 ","4,649 ","4,220 ","4,438 ","4,456 ","4,647 ","4,827 ","4,609 ","4,977 ","4,672 ","4,607 ","4,404 ","3,982 ",,,,,,,,,,,,,,,,,,
2017,"52,861 ","4,735 ","3,994 ","4,523 ","3,989 ","4,466 ","4,500 ","4,546 ","4,997 ","4,297 ","4,650 ","4,387 ","3,777 ",,,,,,,,,,,,,,,,,,
2018,"51,308 ","4,831 ","3,799 ","4,061 ","4,187 ","4,484 ","4,286 ","4,473 ","4,657 ","3,948 ","4,723 ","4,337 ","3,522 ",,,,,,,,,,,,,,,,,,
2019,"49,863 ","4,833 ","3,812 ","3,973 ","3,999 ","4,343 ","3,884 ","4,588 ","4,417 ","4,147 ","4,635 ","3,805 ","3,427 ",,,,,,,,,,,,,,,,,,
2020 1,"46,809 ","4,515 ","3,766 ","2,741 ",18 ,52 ,"1,078 ","9,233 ","6,304 ","5,835 ","5,331 ","4,472 ","3,464 ",,,,,,,,,,,,,,,,,,
2021,"47,786 ","3,721 ","3,620 ","4,170 ","3,884 ","3,554 ","4,003 ","4,014 ","4,158 ","4,377 ","4,347 ","4,450 ","3,488 ",,,,,,,,,,,,,,,,,,
2022,"46,959 ","4,194 ","3,837 ","4,095 ","3,423 ","4,021 ","3,797 ","3,587 ","4,054 ","4,052 ","4,329 ","4,498 ","3,072 ",,,,,,,,,,,,,,,,,,
2023,"45,935 ","4,163 ","3,558 ","3,929 ","3,337 ","3,693 ","4,028 ","3,783 ","4,434 ","3,674 ","4,087 ","4,190 ","3,059 ",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1) The monthly number of registrations shown for 2020 does not reflect the actual number of births in many of those months. During the second half of March 2020 most registration offices closed due to the Covid-19 pandemic and most birth registrations were postponed. During late June 2020, registration of births restarted. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
